pixId,fieldRa,fieldDec,fieldGl,fieldGb,fieldEl,fieldEb,starDensity_r25
0,45.0,87.07581964294997,124.64295968938157,24.64192126535872,85.21796285462086,64.41384416710804,0
1,135.0,87.07581964294997,125.7534787006517,28.655621498315796,94.80054724209548,64.41298742695635,0
2,225.0,87.07581964294997,121.14338715910084,29.5929077047553,95.66853025816613,68.53308244317601,0
3,315.0,87.07581964294997,120.18774193113039,25.546038774634113,84.35466392300057,68.53412571454724,0
4,22.5,84.14973293629666,123.98211532074241,21.356777943672046,77.69755852348237,63.791264243867175,0
5,67.5,84.14973293629666,128.1385121293038,23.64767116488261,85.38224786923739,61.073682017366515,0
6,112.5,84.14973293629666,129.46435893261983,27.95647508291915,94.6334567574524,61.0728793490816,0
7,157.5,84.14973293629666,126.91358948359822,31.8428266613794,102.31986795235771,63.78908874819265,0
8,202.5,84.14973293629666,121.76712637008252,32.891062589636434,104.6730265465248,68.15699937664839,0
9,247.49999999999997,84.14973293629666,117.40103795626437,30.404829958103576,97.20167085392764,71.8336554805222,0
10,292.5,84.14973293629666,116.51239028900878,26.002929591872526,82.82678982837159,71.83500750716816,0
11,337.5,84.14973293629666,119.27627142858147,22.31057276735404,75.34881492384955,68.1596713830759,0
12,14.999999999999998,81.21982231598935,123.27609686421391,18.353796983565832,71.05583253652325,63.00212509099074,0
13,45.0,81.21982231598935,127.87730484164318,19.60955940578131,77.63722564447981,59.74588855266531,0
14,75.0,81.21982231598935,131.3483415678331,22.777672449878178,85.7309050176671,58.0032110897318,0
15,105.0,81.21982231598935,132.799181178291,27.110906984816875,94.28276714560143,58.00249204188971,0
16,135.0,81.21982231598935,131.65354940497105,31.52784026154719,102.37709069691763,59.743784277526856,0
17,165.0,81.21982231598935,127.91548693101247,34.80225426883223,108.96012897407712,62.99883419113333,0
18,195.0,81.21982231598935,122.52864779793921,35.901724762922406,112.45762974394542,67.28365386035487,0
19,224.99999999999997,81.21982231598935,117.2805144261082,34.44895294222325,110.1667789054857,71.74126448732837,0
20,255.00000000000003,81.21982231598935,113.87946247853831,30.938932570075043,98.72871774406289,74.878158375811,0
21,285.0,81.21982231598935,113.12169347565602,26.45956620754299,81.30664586604496,74.87982123213057,0
22,315.0,81.21982231598935,114.90540356605034,22.232610971534747,69.85956939778208,71.74498568793783,0
23,344.99999999999994,81.21982231598935,118.59742053236005,19.30122867254301,67.56185952532536,67.2876596304386,0
24,11.25,78.28414760510762,122.59295176053591,15.416637463483925,64.9426896164231,61.96035071617584,0
25,33.75,78.28414760510762,127.25443461349688,16.119678851290228,71.10175107261836,58.594596513563296,0
26,56.25,78.28414760510762,131.38415624377492,18.370321088369664,78.29874729979605,56.223327512965284,0
27,78.75,78.28414760510762,134.45322268601157,21.879984429159826,86.04574674796959,54.99917812294226,0
28,101.25,78.28414760510762,136.00586312818436,26.193769921590402,93.96630221704064,54.99853481945656,0
29,123.74999999999999,78.28414760510762,135.68143785523657,30.725509547148206,101.7135517273697,56.22140961162372,0
30,146.25,78.28414760510762,133.2834590377691,34.794341147862056,108.91116430174992,58.59145196626636,0
31,168.75,78.28414760510762,128.9488899061655,37.69360873410208,115.07149207803296,61.95609864848415,0
32,191.25,78.28414760510762,123.35145572107469,38.83886010855006,119.42877009340258,66.07875688116415,0
33,213.75,78.28414760510762,117.66157475183425,37.975442851480935,120.56637285916902,70.60014433385948,0
34,236.25,78.28414760510762,113.09100619369298,35.29671422814923,115.69809069590502,74.90911251948309,0
35,258.75,78.28414760510762,110.39690883618847,31.352690382583056,100.86809356134663,77.84507930039223,0
36,281.25,78.28414760510762,109.78243391498458,26.843817048305834,79.17722895389115,77.84717135995106,0
37,303.75,78.28414760510762,111.08594309498136,22.460263909820622,64.33355115734834,74.91387154458424,0
38,326.25,78.28414760510762,113.96408408289243,18.80424544434635,59.455383685797464,70.60559786729745,0
39,348.75,78.28414760510762,117.97298225985232,16.351512785927866,60.58793101623903,66.08386349639545,0
40,9.0,75.34073424154306,121.93220182240312,12.49896150839549,59.31719427592134,60.678453291476536,0
41,27.0,75.34073424154306,126.56797303004858,12.869764715106456,65.30572332881823,57.344238663157604,0
42,45.0,75.34073424154306,130.92561245357902,14.502868319980141,71.95245605242037,54.730218029219266,0
43,63.0,75.34073424154306,134.66937166983843,17.264873152921634,79.01714292733516,52.93228732293357,0
44,81.0,75.34073424154306,137.49657830843327,20.933280195276748,86.31716440417965,52.01619920376844,0
45,98.99999999999999,75.34073424154306,139.13746452976113,25.212739782760963,93.6935456023554,52.01562270809392,0
46,117.0,75.34073424154306,139.3501632242153,29.74655811340166,100.99364777995447,52.930557973179475,0
47,135.0,75.34073424154306,137.9337175901795,34.1223606948462,108.05853811584778,54.72734106630148,0
48,153.0,75.34073424154306,134.7904724905412,37.88153892936246,114.70569246418806,57.34023812451748,0
49,171.0,75.34073424154306,130.05591143453165,40.55487383471378,120.69504333541151,60.67339302399539,0
50,189.0,75.34073424154306,124.2401879704221,41.7482794946281,125.6550701327814,64.60027095291997,0
51,207.0,75.34073424154306,118.21395208215355,41.26521793795193,128.91084724845183,68.95416080875353,0
52,225.0,75.34073424154306,112.92892040085188,39.18694480367058,129.05307187658556,73.49160244077885,0
53,243.0,75.34073424154306,109.06732800367062,35.83773444589705,122.86550386387488,77.76776561876233,0
54,261.0,75.34073424154306,106.91238896517967,31.66828434146588,104.31321706160942,80.76445687883052,0
55,279.0,75.34073424154306,106.4472266346819,27.14865552394506,75.74773489006007,80.76722645686579,0
